model,task,sparsity,achieved_sparsity,accuracy,precision,recall,f1_score,memory_size_mb,nominal_bits,effective_bits,latency_ms,throughput_samples_per_sec
distilbert,mrpc,0.3,0.29999999071035327,0.8406862745098039,0.8417543400759513,0.8406862745098039,0.8411712929968508,255.41699981689453,32,22.400000297268697,17.00405739999648,940.9518930466156
distilbert,mrpc,0.4,0.39999999535517666,0.8357843137254902,0.8354500393907562,0.8357843137254902,0.8356117113948451,255.41699981689453,32,19.200000148634345,17.566676233339727,910.8154432557744
distilbert,mrpc,0.5,0.5,0.6495098039215687,0.7817006641366224,0.6495098039215687,0.6573220993683782,255.41699981689453,32,16.0,18.761653799992928,852.8032853908663
distilbert,mrpc,0.6,0.6000000046448234,0.3161764705882353,0.0999675605536332,0.3161764705882353,0.15190601380216892,255.41699981689453,32,12.799999851365651,16.660109566676812,960.377837610555
distilbert,mrpc,0.7,0.7000000092896467,0.3161764705882353,0.0999675605536332,0.3161764705882353,0.15190601380216892,255.41699981689453,32,9.599999702731306,19.93468753333521,802.6210580549334
distilbert,mrpc,0.8,0.7999999907103533,0.49019607843137253,0.6199322839139589,0.49019607843137253,0.4967722938231896,255.41699981689453,32,6.400000297268694,18.41151293333496,869.0214681397097
distilbert,mrpc,0.9,0.8999999953551766,0.3161764705882353,0.0999675605536332,0.3161764705882353,0.15190601380216892,255.41699981689453,32,3.2000001486343486,16.40653486667058,975.2211621787095
distilbert,mrpc,0.95,0.9500000092896467,0.3161764705882353,0.0999675605536332,0.3161764705882353,0.15190601380216892,255.41699981689453,32,1.5999997027313064,16.779677300003947,953.5344282214676
distilbert,mrpc,0.99,0.9899999972131059,0.3161764705882353,0.0999675605536332,0.3161764705882353,0.15190601380216892,255.41699981689453,32,0.32000008918060985,16.263058533331787,983.8247810033619
bert-base,mrpc,0.0,,0.8872549019607843,0.8859124670222305,0.8872549019607843,0.8856918120264794,417.65528106689453,32,32.0,31.97933890000968,500.3230382600297
bert-base,mrpc,0.1,0.10000000467693947,0.8872549019607843,0.8859124670222305,0.8872549019607843,0.8856918120264794,417.65528106689453,32,28.799999850337937,30.00597393333919,533.2271512181326
bert-base,mrpc,0.2,0.19999999766153026,0.8725490196078431,0.8712555072042625,0.8725490196078431,0.8693989706609286,417.65528106689453,32,25.60000007483103,36.99822886666577,432.4531333016185
bert-base,mrpc,0.3,0.30000000233846974,0.8799019607843137,0.8817943086325439,0.8799019607843137,0.875264146410519,417.65528106689453,32,22.39999992516897,28.58219110000088,559.7891338708287
bert-base,mrpc,0.4,0.3999999953230605,0.8112745098039216,0.8292204599863201,0.8112745098039216,0.7893395409045612,417.65528106689453,32,19.200000149662063,27.640666366672427,578.8572456158984
bert-base,mrpc,0.5,0.5,0.7181372549019608,0.7813719237695077,0.7181372549019608,0.6320415776156806,417.65528106689453,32,16.0,27.747580100003688,576.6268605166716
bert-base,mrpc,0.6,0.6000000046769395,0.7181372549019608,0.7382429534313726,0.7181372549019608,0.643739094431136,417.65528106689453,32,12.799999850337937,27.729252966673812,577.0079713012635
bert-base,mrpc,0.7,0.6999999976615303,0.3161764705882353,0.0999675605536332,0.3161764705882353,0.15190601380216892,417.65528106689453,32,9.60000007483103,31.260896399999183,511.8215356102334
bert-base,mrpc,0.8,0.8000000023384697,0.3161764705882353,0.0999675605536332,0.3161764705882353,0.15190601380216892,417.65528106689453,32,6.39999992516897,33.75510756667002,474.0023407834874
bert-base,mrpc,0.9,0.8999999953230605,0.6838235294117647,0.46761461937716264,0.6838235294117647,0.5554199845877216,417.65528106689453,32,3.2000001496620634,30.005509600005098,533.2354028740535
bert-base,mrpc,0.95,0.9499999976615303,0.6838235294117647,0.46761461937716264,0.6838235294117647,0.5554199845877216,417.65528106689453,32,1.60000007483103,26.58327600000424,601.8821758461015
bert-base,mrpc,0.99,0.9900000018707757,0.6838235294117647,0.46761461937716264,0.6838235294117647,0.5554199845877216,417.65528106689453,32,0.3199999401351761,26.848280966669336,595.9413200369559
distilbert,stsb,0.0,,0.8672850337646851,,,,255.41406631469727,32,32.0,16.990210500004345,941.7187621069148
distilbert,stsb,0.1,0.1,0.867069163512395,,,,255.41406631469727,32,28.8,16.98037103333263,942.2644516183921
distilbert,stsb,0.2,0.2,0.8657274871034385,,,,255.41406631469727,32,25.6,17.015601633329425,940.313504322991
distilbert,stsb,0.3,0.3,0.863978934756849,,,,255.41406631469727,32,22.4,17.30161916666475,924.768939015107
distilbert,stsb,0.4,0.4,0.857085387297275,,,,255.41406631469727,32,19.2,17.12493696666873,934.310008331227
distilbert,stsb,0.5,0.5,0.7995718301462134,,,,255.41406631469727,32,16.0,17.1119893000044,935.0169474449056
distilbert,stsb,0.6,0.6,0.5726190838599463,,,,255.41406631469727,32,12.8,17.036416200001742,939.1646583509954
distilbert,stsb,0.7,0.7,0.1945154044255099,,,,255.41406631469727,32,9.600000000000001,16.927606666664968,945.2015465073587
distilbert,stsb,0.8,0.8,0.03401007228083215,,,,255.41406631469727,32,6.399999999999999,16.965747300006722,943.076642429636
distilbert,stsb,0.9,0.9,,,,,255.41406631469727,32,3.1999999999999993,17.31630040000406,923.9848946023278
distilbert,stsb,0.95,0.95,,,,,255.41406631469727,32,1.6000000000000014,16.740043433325507,955.7920242995157
distilbert,stsb,0.99,0.9900000046449062,,,,,255.41406631469727,32,0.3199998513630007,16.567676433320838,965.735905357306
bert-base,stsb,0.0,,0.8862107862196297,,,,417.65234756469727,32,32.0,28.333847899997032,564.6956268160696
bert-base,stsb,0.1,0.10000000233849074,0.8868001142524592,,,,417.65234756469727,32,28.799999925168297,28.457896700001584,562.2341021428723
bert-base,stsb,0.2,0.20000000467698148,0.8874247154891466,,,,417.65234756469727,32,25.599999850336594,32.48409056667091,492.5488053039787
bert-base,stsb,0.3,0.2999999953230185,0.8839039561047373,,,,417.65234756469727,32,22.400000149663406,28.1976385666591,567.4234018631051
bert-base,stsb,0.4,0.3999999976615093,0.8725752041696214,,,,417.65234756469727,32,19.200000074831703,27.639010466676456,578.8919259352909
bert-base,stsb,0.5,0.5,0.827120906624667,,,,417.65234756469727,32,16.0,30.34542046666502,527.2624255635635
bert-base,stsb,0.6,0.6000000023384907,0.5714468683657312,,,,417.65234756469727,32,12.799999925168297,33.30221176665873,480.44856936555686
bert-base,stsb,0.7,0.7000000046769814,0.09113516848366607,,,,417.65234756469727,32,9.599999850336594,27.57418979999784,580.2527695664608
bert-base,stsb,0.8,0.7999999953230186,0.0998511014214393,,,,417.65234756469727,32,6.400000149663406,27.410578100004084,583.7162551488695
bert-base,stsb,0.9,0.8999999976615093,,,,,417.65234756469727,32,3.200000074831703,26.9612628999918,593.4440111113959
